Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-09 10:21:06Z : PB = 365338624 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-10-09 10:22:50Z : PB = 422039552 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:50Z : PB = 422039552 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:50Z : PB = 427790336 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:50Z : PB = 427790336 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:50Z : PB = 427790336 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:50Z : PB = 427790336 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:50Z : PB = 427790336 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:50Z : PB = 427790336 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:50Z : PB = 427790336 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:50Z : PB = 427790336 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:50Z : PB = 434061312 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:50Z : PB = 434061312 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:50Z : PB = 434061312 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:50Z : PB = 434061312 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:50Z : PB = 434061312 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:50Z : PB = 434847744 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:50Z : PB = 434847744 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:50Z : PB = 434847744 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:50Z : PB = 441171968 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:50Z : PB = 441303040 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:50Z : PB = 441368576 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:50Z : PB = 441434112 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:50Z : PB = 441565184 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:50Z : PB = 441892864 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:50Z : PB = 441892864 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:50Z : PB = 441892864 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:51Z : PB = 447631360 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:51Z : PB = 447631360 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:51Z : PB = 447631360 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:51Z : PB = 447631360 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:51Z : PB = 447631360 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:51Z : PB = 447631360 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:51Z : PB = 447631360 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:51Z : PB = 447631360 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:51Z : PB = 416096256 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:51Z : PB = 416096256 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:51Z : PB = 416096256 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:51Z : PB = 416096256 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:51Z : PB = 416096256 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:51Z : PB = 416096256 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:51Z : PB = 416096256 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:51Z : PB = 416096256 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:51Z : PB = 417075200 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:51Z : PB = 417140736 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:51Z : PB = 417271808 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:51Z : PB = 417337344 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:51Z : PB = 417402880 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:51Z : PB = 416555008 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:51Z : PB = 416555008 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:51Z : PB = 416555008 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:51Z : PB = 422187008 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:51Z : PB = 422187008 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:51Z : PB = 422187008 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:51Z : PB = 422187008 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:51Z : PB = 422187008 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:51Z : PB = 422453248 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:51Z : PB = 422518784 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:51Z : PB = 422584320 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:51Z : PB = 423575552 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:51Z : PB = 423575552 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:52Z : PB = 423575552 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:52Z : PB = 423575552 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:22:52Z : PB = 423575552 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:22:52Z : PB = 423575552 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:22:52Z : PB = 423575552 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:22:52Z : PB = 423575552 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:22:52Z : PB = 429981696 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:22:52Z : PB = 429981696 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:22:52Z : PB = 429981696 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:22:52Z : PB = 429981696 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2022-10-09 10:22:52Z : PB = 429981696 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2022-10-09 10:22:52Z : PB = 429981696 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2022-10-09 10:22:52Z : PB = 429981696 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2022-10-09 10:22:52Z : PB = 429981696 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2022-10-09 10:22:52Z : PB = 429981696 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2022-10-09 10:22:54Z : PB = 426745856 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2022-10-09 10:22:54Z : PB = 426745856 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2022-10-09 10:22:54Z : PB = 426745856 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-09 10:24:29Z : PB = 414384128 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-10-09 10:24:29Z : PB = 414482432 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-09 10:24:29Z : PB = 415309824 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-10-09 10:24:29Z : PB = 415309824 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-10-09 10:24:29Z : PB = 415309824 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-10-09 10:24:29Z : PB = 415313920 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-10-09 10:24:29Z : PB = 414687232 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-10-09 10:24:29Z : PB = 414687232 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:29Z : PB = 414687232 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:29Z : PB = 416198656 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:29Z : PB = 416329728 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:29Z : PB = 416460800 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:29Z : PB = 420249600 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:29Z : PB = 420249600 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:29Z : PB = 420249600 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:29Z : PB = 420249600 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:29Z : PB = 420249600 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:29Z : PB = 420249600 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:29Z : PB = 420249600 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:29Z : PB = 420249600 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:29Z : PB = 422326272 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:29Z : PB = 422326272 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:29Z : PB = 422326272 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:29Z : PB = 422326272 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:29Z : PB = 422326272 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:29Z : PB = 422326272 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:29Z : PB = 422326272 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:29Z : PB = 422326272 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:29Z : PB = 425025536 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:29Z : PB = 425025536 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:29Z : PB = 425025536 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:29Z : PB = 425025536 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:29Z : PB = 425025536 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:29Z : PB = 425025536 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:29Z : PB = 425025536 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:29Z : PB = 425025536 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 431034368 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 431165440 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 431165440 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 431165440 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 431165440 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 431165440 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 431165440 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 431165440 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 433594368 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 433594368 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 433594368 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 433594368 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 433594368 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 433594368 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 433594368 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 433594368 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 439140352 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 439271424 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 439341056 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 439406592 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 439537664 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 436023296 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 436023296 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 436023296 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 441769984 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 441769984 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 441769984 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 441769984 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 441769984 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 441769984 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 441769984 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 441769984 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 445591552 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 445591552 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 445591552 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 445591552 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 445591552 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 446320640 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 446320640 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 446320640 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 451674112 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 451674112 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 451674112 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 451674112 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 451674112 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 451674112 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 451674112 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 451674112 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 458076160 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 458076160 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 458076160 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 458076160 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 458076160 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 458076160 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 458076160 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 458076160 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 462688256 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 462688256 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 462688256 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 10:24:30Z : PB = 462688256 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-09 10:24:30Z : PB = 462688256 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-09 10:24:30Z : PB = 462688256 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 10:24:30Z : PB = 462688256 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 10:24:30Z : PB = 462688256 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 10:24:30Z : PB = 469024768 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 10:24:30Z : PB = 469024768 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 10:24:30Z : PB = 469024768 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
